iter	RMSE
0	177.6658013
1	173.2881902
2	169.3738507
3	166.3071788
4	163.0877731
5	159.6138267
6	156.7134345
7	153.7977043
8	151.4795277
9	148.860078
10	146.9838901
11	144.8799506
12	143.2032991
13	141.2957174
14	139.6123098
15	137.7490872
16	135.9630173
17	134.3596135
18	132.7812928
19	131.3463977
20	130.1626849
21	128.7767721
22	127.1898377
23	126.0163458
24	124.6840635
25	123.3882328
26	122.1280977
27	120.7731982
28	119.5046193
29	118.458775
30	117.5042296
31	116.6189565
32	115.8301609
33	114.8516518
34	113.9047349
35	113.3085456
36	112.2791018
37	111.5318961
38	110.7098037
39	109.9146922
40	108.9244819
41	108.34158
42	107.625491
43	106.9926092
44	106.5591689
45	105.8437021
46	105.3063666
47	104.4419041
48	104.0035242
49	103.2806926
50	102.8968832
51	102.2572056
52	101.8388531
53	101.3671945
54	100.8795595
55	100.3339017
56	99.82265873
57	99.3915557
58	99.00127924
59	98.71368304
60	98.18485799
61	97.76521894
62	97.35255676
63	97.06433264
64	96.77783178
65	96.42245729
66	96.18968761
67	95.92350576
68	95.69263312
69	95.46639177
70	95.16086493
71	94.93562418
72	94.54447578
73	94.27793538
74	94.06625363
75	93.82594434
76	93.57912114
77	93.36544009
78	93.04047677
79	92.63181577
80	92.42773288
81	92.14401031
82	91.9652266
83	91.50179963
84	91.36478394
85	90.75258158
86	90.37639838
87	90.17616019
88	89.9648355
89	89.79192899
90	89.67960252
91	89.29034439
92	88.95433991
93	88.84675766
94	88.52933582
95	88.35286144
96	88.23314694
97	88.04947204
98	87.6938244
99	87.42737688
100	87.27730122
101	87.1821764
102	87.00685208
103	86.59613535
104	86.30837543
105	86.01915905
106	85.86391619
107	85.60465959
108	85.36098592
109	85.26081609
110	85.16344755
111	85.03622272
112	84.91572147
113	84.72046196
114	84.58728618
115	84.4944482
116	84.36490811
117	84.13813673
118	83.96855785
119	83.80327829
120	83.74240733
121	83.61344408
122	83.3568454
123	83.22397715
124	83.13574876
125	83.04983402
126	82.81404363
127	82.62717523
128	82.39216253
129	82.30117199
130	82.17705615
131	81.91602068
132	81.78338777
133	81.68031303
134	81.59377248
135	81.47502452
136	81.38666829
137	81.30623673
138	81.18288416
139	81.01574869
140	80.8348097
141	80.7531495
142	80.62966728
143	80.45282469
144	80.37050125
145	80.19011864
146	79.99694409
147	79.78196063
148	79.66289772
149	79.56207406
150	79.47086162
151	79.38294535
152	79.3221832
153	79.23281228
154	79.07159567
155	78.96863475
156	78.90221053
157	78.80820615
158	78.67817396
159	78.54301227
160	78.3722908
161	78.28827257
162	78.17622638
163	78.11266828
164	78.04075863
165	77.95215136
166	77.83217609
167	77.70092112
168	77.61614535
169	77.47549576
170	77.39971886
171	77.3081712
172	77.21965745
173	77.09742228
174	77.03995365
175	76.88620468
176	76.77051784
177	76.69771093
178	76.61852072
179	76.47328216
180	76.39847078
181	76.27533012
182	76.18803589
183	76.12049309
184	75.98012203
185	75.86330113
186	75.7769677
187	75.68480902
188	75.61323682
189	75.53683875
190	75.40398538
191	75.3359266
192	75.25996679
193	75.17325025
194	75.01488283
195	74.91453977
196	74.83046595
197	74.71034013
198	74.6230608
199	74.49172103
200	74.3819552
201	74.2911317
202	74.2289163
203	74.13626465
204	74.06282814
205	73.96277212
206	73.90318216
207	73.8424264
208	73.75493825
209	73.69666781
210	73.58627179
211	73.52895682
212	73.4142172
213	73.35169769
214	73.25241557
215	73.14452453
216	73.08601189
217	73.03349251
218	72.96760296
219	72.91781642
220	72.85723784
221	72.81918233
222	72.71961628
223	72.63255194
224	72.58132855
225	72.47727199
226	72.36332262
227	72.31631892
228	72.26376808
229	72.19951332
230	72.13419248
231	72.0474803
232	71.9606714
233	71.90084452
234	71.86240613
235	71.77720179
236	71.66684719
237	71.59877137
238	71.50020156
239	71.44763856
240	71.3419779
241	71.26528976
242	71.20882537
243	71.12443856
244	71.0769119
245	70.98914839
246	70.92938176
247	70.86641467
248	70.79448943
249	70.73110598
250	70.66660247
251	70.63565374
252	70.54618841
253	70.49374843
254	70.40586978
255	70.30791036
256	70.22234758
257	70.1706833
258	70.09173558
259	70.05409786
260	70.00015973
261	69.9521344
262	69.86874946
263	69.80187228
264	69.72376717
265	69.67727177
266	69.61758108
267	69.54005033
268	69.46567927
269	69.40207875
270	69.31579966
271	69.28528113
272	69.25093145
273	69.17373366
274	69.10189109
275	69.03548867
276	68.97509533
277	68.90948644
278	68.86776875
279	68.80871146
280	68.73481825
281	68.69909796
282	68.6230639
283	68.57133277
284	68.51905518
285	68.48217572
286	68.44516165
287	68.37492429
288	68.30844297
289	68.25268799
290	68.20556983
291	68.1295363
292	68.07482003
293	68.00152192
294	67.95847226
295	67.92428189
296	67.84576275
297	67.77524984
298	67.71595662
299	67.65477049
300	67.59715676
301	67.52973834
302	67.47595149
303	67.42170004
304	67.33158822
305	67.27650236
306	67.21598273
307	67.15763212
308	67.09267337
309	67.03473193
310	66.99046225
311	66.93786724
312	66.88255477
313	66.83062076
314	66.78988525
315	66.73566241
316	66.6943814
317	66.6427064
318	66.58788106
319	66.54202802
320	66.50702541
321	66.43983697
322	66.40048375
323	66.36428427
324	66.31796303
325	66.26079686
326	66.20634609
327	66.15516325
328	66.11352296
329	66.06590675
330	66.02531721
331	65.98071063
332	65.92986328
333	65.88064043
334	65.84710137
335	65.79698946
336	65.74695886
337	65.72786976
338	65.66644882
339	65.62169689
340	65.57585426
341	65.56215297
342	65.49838957
343	65.44255907
344	65.40414906
345	65.36914334
346	65.3278695
